food_name,calories,protein,fat,carbs
noodles,104,27.97,9.53,14.65
milk,424,11.97,12.57,15.89
fried_rice,105,10.0,22.4,12.34
juice,111,28.21,7.62,39.15
coffee,260,10.03,8.07,56.14
rice,311,12.31,0.73,78.32
poha,474,18.07,2.97,55.31
fish_fry,497,13.38,10.91,23.99
dosa,179,17.31,4.63,37.16
fish_fry,144,14.69,7.64,29.84
apple,310,27.51,10.45,33.31
pizza,180,25.1,9.76,58.08
salad,362,23.9,24.64,42.42
orange,296,6.51,20.46,28.91
ice_cream,122,9.4,13.08,76.09
chicken_curry,91,5.68,17.81,21.8
sandwich,318,9.75,24.44,55.49
noodles,229,25.39,21.13,32.08
sandwich,422,17.11,12.85,32.6
banana,81,21.46,4.41,68.21
salad,465,2.88,10.58,39.82
banana,246,4.42,22.82,7.94
salad,472,18.93,5.54,46.25
sambar,266,9.56,22.65,44.59
pizza,449,4.98,3.23,42.68
pasta,51,13.88,13.81,79.56
apple,280,29.28,22.93,58.08
chapati,73,12.35,24.23,61.84
coffee,352,2.35,20.38,28.18
milk,58,9.89,22.23,44.55
grapes,121,4.69,8.9,64.25
cake,68,16.89,10.56,46.28
chapati,184,12.95,4.05,62.2
chicken_curry,164,20.15,13.73,23.11
banana,177,23.36,4.58,64.58
paneer,442,18.45,20.25,53.3
poha,371,7.18,7.03,60.33
upma,165,19.73,17.21,40.63
grapes,303,27.94,3.13,16.31
banana,157,20.72,1.44,27.25
tofu,192,2.63,6.74,63.17
milk,289,20.81,6.38,7.28
banana,269,8.3,16.85,73.86
tofu,290,17.47,8.13,11.1
banana,115,16.54,5.47,70.95
rice,203,20.83,2.16,74.79
tofu,420,3.42,21.84,17.76
grapes,278,15.99,11.32,17.76
grapes,71,21.87,24.08,47.27
cake,256,23.48,14.93,25.74
ice_cream,305,17.49,21.58,32.18
chicken_curry,203,18.39,12.28,71.72
juice,335,23.63,20.09,25.49
fried_rice,364,13.99,8.67,77.39
ice_cream,56,16.8,19.22,41.05
orange,206,15.15,23.18,42.96
milk,52,16.4,15.25,32.79
pasta,271,13.85,9.8,58.32
fish_fry,446,4.04,1.11,60.55
juice,372,5.05,14.12,48.53
chapati,307,19.76,19.96,39.74
chicken_curry,372,18.05,13.89,72.26
tea,106,23.99,14.42,14.68
pasta,299,3.63,13.02,5.28
pasta,357,26.8,20.41,28.53
ice_cream,211,3.78,20.41,28.62
fried_rice,482,15.82,8.05,32.78
orange,381,14.64,20.2,49.46
sandwich,226,4.52,1.69,71.33
upma,302,12.06,7.41,56.07
apple,124,16.9,21.09,16.22
ice_cream,495,19.46,3.75,11.92
dosa,221,18.91,9.14,67.43
upma,233,23.1,15.37,5.8
chapati,466,27.7,3.5,14.55
sambar,120,12.87,12.79,30.43
fried_rice,399,14.13,21.11,56.12
chapati,98,3.64,4.82,54.53
paneer,187,2.55,20.59,37.07
chapati,131,17.86,9.53,27.95
chicken_curry,455,5.04,20.47,58.76
salad,67,15.98,18.12,29.57
tofu,70,1.98,13.87,71.69
orange,240,23.35,19.33,31.57
dosa,162,20.95,6.92,33.05
rice,228,18.96,4.3,56.1
banana,233,4.45,3.35,65.42
rice,312,6.21,5.2,37.47
juice,97,27.28,8.88,32.86
burger,369,1.36,23.08,11.85
tofu,452,26.89,5.37,66.83
grapes,492,6.39,1.11,55.27
cake,91,16.09,3.82,40.08
upma,392,26.2,22.79,47.82
banana,480,5.03,15.77,45.7
dosa,57,21.79,15.48,55.09
sandwich,235,10.86,17.8,18.89
egg_omelette,319,8.34,12.75,34.49
rice,195,18.45,24.49,51.36
banana,218,29.76,4.07,56.63
grapes,426,12.55,4.16,79.1
egg_omelette,189,7.22,12.03,49.11
coffee,402,14.85,19.66,55.14
pasta,300,1.2,16.11,78.6
dosa,209,12.13,3.69,22.75
burger,497,27.09,2.96,27.69
pizza,200,5.64,2.91,44.38
fried_rice,156,23.1,20.36,11.99
upma,261,17.98,22.63,11.06
grapes,96,5.79,21.02,67.67
egg_omelette,209,12.19,21.44,61.49
burger,227,1.06,13.36,51.07
tea,326,23.3,19.16,75.99
banana,89,14.19,2.09,55.94
noodles,347,19.69,14.11,29.95
dosa,88,28.71,14.29,45.96
upma,247,3.05,22.47,62.61
pizza,452,14.18,4.89,55.0
paneer,216,4.39,23.49,23.37
juice,390,5.29,5.01,24.38
dosa,119,5.9,8.73,69.94
poha,413,26.83,15.86,39.81
ice_cream,377,23.17,10.87,31.76
juice,394,26.66,7.96,73.84
poha,392,11.42,7.41,70.21
sambar,151,19.28,1.95,13.57
chicken_curry,314,16.72,22.42,14.73
juice,447,29.15,21.17,51.24
chapati,395,29.59,16.41,73.4
tofu,472,26.11,21.56,34.22
upma,392,17.82,1.36,55.52
chapati,421,18.75,4.26,77.09
coffee,291,29.62,16.72,72.88
chapati,389,19.99,2.43,8.89
salad,459,7.97,8.42,28.36
chapati,187,19.32,21.94,68.57
noodles,121,23.38,1.37,78.34
juice,176,27.32,19.94,19.69
dosa,72,11.4,8.77,53.95
egg_omelette,146,7.8,8.38,54.72
fried_rice,197,28.46,21.65,51.56
dosa,484,16.27,14.65,71.67
noodles,254,1.85,20.33,51.23
grapes,200,6.04,8.36,26.93
sambar,212,9.72,10.6,64.35
rice,360,12.72,5.89,37.75
salad,140,11.37,20.06,30.91
tofu,185,8.52,11.88,58.57
egg_omelette,481,2.89,14.11,54.37
ice_cream,273,4.12,9.34,72.58
sambar,346,26.25,7.43,49.18
noodles,461,13.85,1.4,53.01
fish_fry,125,5.55,9.55,14.35
upma,211,10.8,3.67,50.29
idli,79,1.82,8.21,69.06
pasta,398,11.07,22.99,45.6
sandwich,288,8.15,17.12,24.67
fried_rice,54,1.91,24.24,77.94
rice,389,3.04,22.04,50.39
paneer,187,4.75,24.48,28.78
poha,169,16.66,12.62,11.33
cake,268,26.19,17.87,33.61
juice,394,25.19,16.09,13.4
burger,500,15.14,23.23,9.42
juice,338,25.2,7.05,56.77
coffee,290,12.45,16.25,15.09
pizza,401,13.93,16.23,58.55
salad,367,25.62,23.39,38.34
sambar,80,18.67,21.43,50.2
pizza,180,14.91,22.86,50.91
rice,144,8.14,21.51,15.43
salad,103,17.85,17.28,68.54
idli,71,26.1,23.49,54.82
fried_rice,337,2.39,23.75,70.04
apple,303,22.16,1.85,72.52
paneer,314,23.58,7.78,66.83
coffee,363,24.5,3.0,56.02
juice,177,2.27,22.67,23.57
rice,304,15.79,8.12,69.67
juice,358,6.86,23.87,25.86
tea,378,3.13,7.68,8.92
milk,103,5.23,3.57,6.14
tea,203,22.02,2.58,78.56
ice_cream,183,20.83,17.09,71.03
coffee,199,29.51,24.56,15.47
ice_cream,351,12.58,5.57,19.14
rice,465,28.39,6.0,46.93
egg_omelette,181,21.65,16.14,53.73
dosa,424,22.19,1.24,68.22
orange,131,19.34,19.68,71.52
cake,259,15.6,14.19,8.74
salad,242,21.74,21.21,67.26
sandwich,73,19.59,0.77,35.3
chapati,430,12.49,20.73,34.79
ice_cream,123,1.99,21.58,46.98
rice,190,25.92,6.86,10.53
tofu,422,23.33,8.52,34.88
tea,485,22.33,21.48,70.9
sambar,195,24.17,11.86,13.0
tea,172,19.65,15.48,38.31
banana,92,11.16,14.18,8.06
burger,236,15.36,18.8,40.06
chicken_curry,409,1.45,3.04,52.29
grapes,411,20.01,12.33,7.85
dal,132,16.37,18.93,7.32
orange,208,23.46,3.56,19.5
juice,315,7.14,24.25,13.93
milk,391,19.71,3.31,5.03
apple,146,26.85,3.04,46.32
juice,135,8.28,19.08,69.81
pizza,475,28.2,23.81,69.77
poha,476,21.58,16.69,78.01
dal,378,18.74,13.2,24.12
orange,280,4.43,11.6,36.29
noodles,417,22.56,5.87,10.8
milk,455,19.52,19.85,48.25
paneer,335,15.58,18.39,54.3
burger,78,2.6,11.72,53.52
milk,489,2.62,17.36,14.2
juice,312,13.87,3.31,26.87
tofu,194,15.67,24.43,30.7
dosa,167,4.29,6.11,14.52
dal,421,20.63,24.29,39.07
apple,103,20.28,24.45,35.66
juice,251,17.0,9.37,46.43
chicken_curry,405,24.17,14.74,65.99
fried_rice,302,28.87,19.84,76.55
salad,374,21.55,17.25,11.63
ice_cream,95,22.16,5.44,31.35
sandwich,297,18.14,18.11,13.41
chapati,488,19.72,10.45,14.2
chapati,152,25.48,16.66,10.2
apple,196,17.08,20.09,57.99
paneer,175,6.77,20.93,77.72
fried_rice,383,7.49,22.26,65.35
burger,370,1.18,4.06,35.82
tofu,471,24.93,16.34,61.08
pizza,380,24.74,1.61,58.19
cake,158,4.44,24.93,15.84
pasta,101,28.74,16.36,75.54
salad,273,24.18,9.67,60.55
chapati,119,6.31,14.81,33.38
tea,450,20.02,7.78,24.78
noodles,176,5.0,18.21,75.96
burger,372,7.81,22.37,9.28
orange,121,7.8,24.15,75.49
coffee,215,19.11,18.28,55.45
dal,350,10.13,9.23,74.28
tofu,221,17.9,19.32,60.28
rice,474,18.0,12.25,62.41
pasta,266,22.64,7.74,63.05
salad,247,6.68,21.28,14.64
dosa,73,11.74,1.01,78.45
burger,130,24.56,6.56,20.16
orange,109,25.19,3.17,17.67
cake,172,14.94,10.29,66.93
pasta,387,5.56,13.37,28.83
fried_rice,315,12.48,5.39,71.7
pizza,269,27.02,14.02,71.39
noodles,490,10.31,3.38,51.82
burger,383,2.94,21.55,67.27
ice_cream,235,2.64,19.0,43.33
poha,141,15.51,18.97,20.21
fish_fry,134,27.29,12.25,42.75
